assembly_accession	organism_name	species_taxid	refseq_category
GCF_001431525.1	Stenotrophomonas koreensis	266128	representative genome
GCF_007990245.1	Cellulomonas composti	266130	representative genome
GCF_900637895.1	Chryseobacterium antarcticum	266748	representative genome
GCF_900638245.1	Chryseobacterium jeonii	266749	representative genome
GCF_000769135.1	Porphyromonas gingivicanis	266762	representative genome
GCF_000380565.1	Microbulbifer variabilis ATCC 700307	266805	representative genome
GCF_003097295.1	Thalassobacter stenotrophicus	266809	representative genome
GCF_003026475.1	Photobacterium lipolyticum	266810	representative genome
GCF_013371215.1	Parasphingorhabdus flavimaris	266812	representative genome
GCF_001552335.1	Granulicoccus phenolivorans DSM 17626 = NBRC 107789 = JCM 15570	266854	representative genome
GCF_900114715.1	Salibacterium qingdaonense	266892	representative genome
GCF_002795865.1	Erythrobacter seohaensis	266951	representative genome
GCF_009827315.1	Erythrobacter gaetbuli	266952	representative genome
GCF_001563495.1	Chryseobacterium kwangjuense	267125	representative genome
GCF_001956775.1	Sphingopyxis granuli	267128	representative genome
GCF_002155425.1	Porphyrobacter donghaensis	267135	representative genome
GCF_000194925.1	Neisseria bacilliformis ATCC BAA-1200	267212	representative genome
GCF_001434115.1	Lactobacillus zymae DSM 19395	267363	representative genome
GCF_001434835.1	Lactobacillus acidifarinae DSM 19394	267364	representative genome
GCF_003014615.1	Marinobacterium halophilum	267374	representative genome
GCF_002407085.1	Pseudoalteromonas marina	267375	representative genome
GCF_001434395.1	Lactobacillus hammesii DSM 16381	267633	representative genome
GCF_007991215.1	Aneurinibacillus danicus	267746	representative genome
GCF_004217095.1	Advenella incenata	267800	representative genome
GCF_002276565.1	Lactobacillus kefiranofaciens	267818	representative genome
GCF_000691225.1	Nitrincola lacisaponensis	267850	representative genome
GCF_003003695.1	Phormidesmis priestleyi ULC007	268141	representative genome
GCF_004138335.1	Steroidobacter agariperforans	268404	representative genome
GCF_000757885.1	Paenibacillus wynnii	268407	representative genome
GCF_009900765.1	Rhodovarius lipocyclicus	268410	representative genome
GCF_900176045.1	Nitratiruptor tergarcus DSM 16512	269259	representative genome
GCF_000186245.1	Nitratifractor salsuginis DSM 16511	269261	representative genome
GCF_009749395.1	Agromyces salentinus	269421	representative genome
GCF_003697185.1	Methylobacterium brachiatum	269660	representative genome
GCF_000380045.1	Streptococcus marimammalium DSM 18627	269666	representative genome
GCF_900113325.1	Sporolactobacillus nakayamae	269670	representative genome
GCF_009176625.1	Sporolactobacillus terrae	269673	representative genome
GCF_006788925.1	Methylomicrobium kenyense	269709	representative genome
GCF_000429585.1	Atopococcus tabaci DSM 17538	269774	representative genome
GCF_000278215.1	Bartonella rattimassiliensis 15908	270250	representative genome
GCF_001548015.1	Methylobacterium aquaticum	270351	representative genome
GCF_004362525.1	Paucibacter toxinivorans	270368	representative genome
GCF_000379445.1	Fangia hongkongensis FSC776 = DSM 21703	270495	representative genome
GCF_000429325.1	Desulfovibrio putealis DSM 16056	270496	representative genome
GCF_004342745.1	Catabacter hongkongensis	270498	representative genome
GCF_001890765.1	Spirulina major PCC 6313	270636	representative genome
GCF_009711055.1	Myroides pelagicus	270914	representative genome
GCF_002900095.1	Salegentibacter mishustinae	270918	representative genome
GCF_003634585.1	Gillisia mitskevichiae	270921	representative genome
GCF_000968535.2	Methylomicrobium alcaliphilum 20Z	271065	representative genome
GCF_000426625.1	Psychrilyobacter atlanticus DSM 19335	271091	representative genome
GCF_003966225.1	Shewanella canadensis	271096	representative genome
GCF_000018025.1	Shewanella sediminis HAW-EB3	271097	representative genome
GCF_000019185.1	Shewanella halifaxensis HAW-EB4	271098	representative genome
GCF_003966265.1	Shewanella atlantica	271099	representative genome
GCF_000419685.1	Flavobacterium antarcticum DSM 19726	271155	representative genome
GCF_003688495.1	Flavobacterium weaverense	271156	representative genome
GCF_900129575.1	Flavobacterium segetis	271157	representative genome
GCF_004345745.1	Nicoletella semolina	271160	representative genome
GCF_000388115.1	Aeromonas molluscorum 848	271417	representative genome
GCF_900108535.1	Pseudomonas xanthomarina	271420	representative genome
GCF_000430705.1	Arthrobacter castelli DSM 16402	271431	representative genome
GCF_011927905.1	Arthrobacter pigmenti	271432	representative genome
GCF_002278035.1	Ochrobactrum quorumnocens	271865	representative genome
GCF_000020025.1	Nostoc punctiforme PCC 73102	272131	representative genome
GCF_000518485.1	Olleya marilimosa CAM030	272164	representative genome
GCF_001570925.1	[Zimmermannella] bifida NBRC 103089	272239	representative genome
GCF_000381765.1	[Zimmermannella] faecalis ATCC 13722	272240	representative genome
GCF_001570905.1	[Zimmermannella] alba NBRC 15616	272241	representative genome
GCF_000429225.1	Actinomyces dentalis DSM 19115	272548	representative genome
GCF_003612795.1	Halomonas alkaliphila	272774	representative genome
GCF_013410215.1	Nesterenkonia sandarakina	272918	representative genome
GCF_003318295.1	Bacillus taeanensis	273032	representative genome
GCF_000775605.1	Pontibacillus marinus BH030004 = DSM 16465	273164	representative genome
GCF_001590985.1	Novosphingobium naphthalenivorans NBRC 102051	273168	representative genome
GCF_000208385.1	Sphaerochaeta coccoides DSM 17374	273376	representative genome
GCF_006539005.1	Brevibacterium aurantiacum	273384	representative genome
GCF_000620845.1	Exiguobacterium marinum DSM 16307	273528	representative genome
GCF_004137255.1	Nocardioides oleivorans	273676	representative genome
GCF_001975955.2	Microbacterium oleivorans	273677	representative genome
GCF_011752045.1	Microbacterium hydrocarbonoxydans	273678	representative genome
GCF_001747405.1	Chlorobaculum limnaeum	274537	representative genome
GCF_000020505.1	Chlorobaculum parvum NCIB 8327	274539	representative genome
GCF_003182275.1	Hoeflea marina	274592	representative genome
GCF_007671675.1	Marinobacter maritimus	277961	representative genome
GCF_000365005.1	Limimaricola hongkongensis DSM 17492	278132	representative genome
GCF_001895005.1	Rhodococcus yunnanensis NBRC 103083	278209	representative genome
GCF_000430625.1	Aneurinibacillus terranovensis DSM 18919	278991	representative genome
GCF_000786695.1	Collimonas arenae	279058	representative genome
GCF_001584225.1	Collimonas pratensis	279113	representative genome
GCF_000948175.1	Bacillus alveayuensis	279215	representative genome
GCF_003350525.1	Nocardia mexicana	279262	representative genome
GCF_000430665.1	Aquimarina muelleri DSM 19832	279356	representative genome
GCF_000423065.1	Gramella echinicola DSM 19838	279359	representative genome
GCF_004340805.1	Roseivirga ehrenbergii	279360	representative genome
GCF_000420305.1	Novosphingopyxis baekryungensis DSM 16222	279369	representative genome
GCF_000421545.1	Agromyces italicus DSM 16388	279572	representative genome
GCF_009749405.1	Agromyces lapidis	279574	representative genome
GCF_011761345.1	Thalassobacillus devorans	279813	representative genome
GCF_900103735.1	Algoriphagus alkaliphilus	279824	representative genome
GCF_013618915.1	Mesobacillus foraminis	279826	representative genome
GCF_002355395.1	Microcella alkaliphila	279828	representative genome
GCF_900460265.1	Suttonella ornithocola	279832	representative genome
GCF_003003155.1	Flavobacterium granuli	280093	representative genome
GCF_000369765.1	Acinetobacter colistiniresistens	280145	representative genome
GCF_008802255.1	Acinetobacter courvalinii	280147	representative genome
GCF_002263495.1	Nocardiopsis gilva YIM 90087	280236	representative genome
GCF_000341185.1	Nocardiopsis chromatogenes YIM 90109	280239	representative genome
GCF_000341205.1	Nocardiopsis baichengensis YIM 90130	280240	representative genome
GCF_001440395.1	Bradyrhizobium jicamae	280332	representative genome
GCF_009759865.1	Bradyrhizobium pachyrhizi	280333	representative genome
GCF_900176595.1	Aquiflexum balticum DSM 16537	280473	representative genome
GCF_000878195.1	Mycolicibacterium llatzerense	280871	representative genome
GCF_000473085.1	Azorhizobium doebereinerae UFLA1-100	281091	representative genome
GCF_007829815.1	Kitasatospora viridis	281105	representative genome
GCF_002906165.1	Labrenzia marina	281252	representative genome
GCF_000425445.1	Flavobacterium denitrificans DSM 15936	281361	representative genome
GCF_001551835.1	Dechloromonas denitrificans	281362	representative genome
GCF_900096915.1	Acinetobacter marinus	281375	representative genome
GCF_001263415.1	Thermincola ferriacetica	281456	representative genome
GCF_000515395.1	Jiangella gansuensis DSM 44835	281473	representative genome
GCF_000426525.1	Nocardioides alkalitolerans DSM 16699	281714	representative genome
GCF_009812035.1	Psychrobacter nivimaris	281738	representative genome
GCF_003987275.1	Idiomarina seosinensis	281739	representative genome
GCF_000482365.1	Porphyromonas uenonis DSM 23387 = JCM 13868	281920	representative genome
GCF_900113265.1	Jannaschia rubra	282197	representative genome
GCF_900114125.1	Nereida ignava DSM 16309	282199	representative genome
GCF_000191065.1	Prevotella multiformis DSM 16608	282402	representative genome
GCF_900102075.1	Salipiger thiooxidans	282683	representative genome
GCF_001613065.1	Nocardia miyunensis NBRC 108239	282684	representative genome
GCF_000308615.1	Nocardia jiangxiensis NBRC 101359	282685	representative genome
GCF_001887675.1	Kosakonia radicincitans	283686	representative genome
GCF_000185885.1	Staphylococcus pseudintermedius HKU10-03	283734	representative genome
GCF_004104375.1	Leeuwenhoekiella aequorea	283736	representative genome
GCF_900112405.1	Fructobacillus durionis	283737	representative genome
GCF_900107625.1	Bizionia paragorgiae	283786	representative genome
GCF_000024545.1	Stackebrandtia nassauensis DSM 44728	283811	representative genome
GCF_003917135.1	Leucobacter chromiireducens	283877	representative genome
GCF_010211765.1	Pseudoxanthomonas kaohsiungensis	283923	representative genome
GCF_000017265.1	Phenylobacterium zucineum HLK1	284016	representative genome
GCF_013409565.1	Streptomyces fulvorobeus	284028	representative genome
GCF_000725785.1	Streptomyces flavovariabilis	284031	representative genome
GCF_001700505.1	Streptomyces mutomycini	284036	representative genome
GCF_000717995.1	Streptomyces violaceorubidus	284042	representative genome
GCF_006539505.1	Streptomyces spinoverrucosus	284043	representative genome
GCF_900100755.1	Halomonas taeanensis	284577	representative genome
GCF_003945585.1	Bacillus salarius	284579	representative genome
GCF_001274935.1	Bacillus koreensis	284581	representative genome
GCF_012396155.1	Cellulomonas septica	285080	representative genome
GCF_000300005.1	Alcanivorax dieselolei B5	285091	representative genome
GCF_000714535.1	Thioclava pacifica DSM 10166	285109	representative genome
GCF_900167165.1	Carboxydocella sporoproducens DSM 16521	285110	representative genome
GCF_003610735.1	Tenacibaculum lutimaris	285258	representative genome
GCF_007991375.1	Acetobacter nitrogenifigens DSM 23921 = LMG 23498	285268	representative genome
GCF_900114245.1	Pseudovibrio ascidiaceicola	285279	representative genome
GCF_900113055.1	Flavimobilis marinus	285351	representative genome
GCF_000497445.1	Streptomyces roseochromogenus subsp. oscitans DS 12.976	285450	representative genome
GCF_001746485.1	Streptomyces agglomeratus	285458	representative genome
GCF_000716435.1	Streptomyces xylophagus	285514	representative genome
GCF_000154965.1	Streptomyces sviceus ATCC 29083	285530	representative genome
GCF_000718165.1	Streptomyces fulvoviolaceus	285535	representative genome
GCF_000478605.2	Streptomyces thermolilacinus SPC6	285540	representative genome
GCF_007828955.1	Kitasatospora atroaurantiaca	285545	representative genome
GCF_009811555.1	Streptomyces caniferus	285557	representative genome
GCF_003112555.1	Streptomyces coelicoflavus	285562	representative genome
GCF_001514215.1	Streptomyces bungoensis	285568	representative genome
GCF_006716135.1	Streptomyces asterosporus	285570	representative genome
GCF_000725555.1	Streptomyces erythrochromogenes	285574	representative genome
GCF_009176265.1	Streptomyces angustmyceticus	285578	representative genome
GCF_900091455.1	Micromonospora coriariae	285665	representative genome
GCF_900091575.1	Micromonospora saelicesensis	285676	representative genome
GCF_000297395.2	Micromonospora lupini str. Lupac 08	285679	representative genome
GCF_003859915.1	Fusobacterium canifelinum	285729	representative genome
GCF_003937825.1	Mesobacillus subterraneus	285983	representative genome
GCF_000711895.1	Photorhabdus australis DSM 17609	286156	representative genome
GCF_000376785.1	Hahella ganghwensis DSM 17046	286420	representative genome
GCF_013410355.1	Agromyces hippuratus	286438	representative genome
GCF_000427785.1	Massilia alkalitolerans DSM 17462	286638	representative genome
GCF_013347285.1	Azospirillum oryzae	286727	representative genome
GCF_000517065.1	Alkaliflexus imshenetskii DSM 15055	286730	representative genome
GCF_000092825.1	Segniliparus rotundus DSM 44985	286802	representative genome
GCF_000185725.2	Segniliparus rugosus ATCC BAA-974	286804	representative genome
GCF_001562195.1	Alteromonas addita	287094	representative genome
GCF_900156505.1	Yoonia rosea	287098	representative genome
GCF_900115145.1	Salegentibacter flavus	287099	representative genome
GCF_000428525.1	Hellea balneolensis DSM 19091	287478	representative genome
GCF_000423125.1	Haliea salexigens DSM 19537	287487	representative genome
GCF_000375465.1	Balneola vulgaris DSM 17893	287535	representative genome
GCF_007989025.1	Lactobacillus concavus	287844	representative genome
GCF_000695625.1	Amycolatopsis rifamycinica	287986	representative genome
GCF_900129175.1	Marinitoga hydrogenitolerans DSM 16785	287990	representative genome
GCF_001305575.3	Beggiatoa leptomitoformis	288004	representative genome
GCF_000375545.1	Kordiimonas gwangyangensis DSM 19435 = JCM 12864	288022	representative genome
GCF_007018965.1	Paracoccus marinus	288426	representative genome
GCF_900078315.1	Bordetella ansorpii	288768	representative genome
GCF_000237085.1	Hungateiclostridium clariflavum DSM 19732	288965	representative genome
GCF_900142105.1	Lutispora thermophila DSM 19022	288966	representative genome
GCF_900129215.1	Pedobacter caeni	288992	representative genome
GCF_900128975.1	Devosia limi DSM 17137	288995	representative genome
GCF_900115555.1	Pseudomonas borbori	289003	representative genome
GCF_900113905.1	Pseudomonas argentinensis	289370	representative genome
GCF_002368075.1	Sphaerospermopsis kisseleviana NIES-73	289435	representative genome
GCF_010211745.1	Pseudoxanthomonas kalamensis DSM 18571	289483	representative genome
GCF_001461035.1	Acetivibrio ethanolgignens	290052	representative genome
GCF_000186225.1	Bacteroides helcogenes P 36-108	290053	representative genome
GCF_900167205.1	Eubacterium coprostanoligenes	290054	representative genome
GCF_001028025.1	Faecalicatena fissicatena	290055	representative genome
GCF_900155355.1	Xenorhabdus innexi	290109	representative genome
GCF_002632465.1	Xenorhabdus budapestensis	290110	representative genome
GCF_003610465.1	Xenorhabdus ehlersii	290111	representative genome
GCF_002632585.1	Xenorhabdus szentirmaii DSM 16338	290112	representative genome
GCF_000308575.1	Nocardia exalbida NBRC 100660	290231	representative genome
GCF_000739995.1	Comamonas granuli NBRC 101663	290309	representative genome
GCF_007991535.1	Tetragenococcus koreensis	290335	representative genome
GCF_002019765.1	Alkalihalobacillus oshimensis	290588	representative genome
GCF_000526375.1	Aminiphilus circumscriptus DSM 16581	290732	representative genome
GCF_013408645.1	Arthrobacter psychrochitiniphilus	291045	representative genome
GCF_005843985.1	Caminibacter mediatlanticus TB-2	291048	representative genome
GCF_000196475.1	Photorhabdus asymbiotica	291112	representative genome
GCF_001720165.1	Methylophaga muralis	291169	representative genome
GCF_000278255.1	Bartonella melophagi K-2C	291176	representative genome
GCF_007997225.1	Subsaximicrobium wynnwilliamsii	291179	representative genome
GCF_008086205.1	Bizionia myxarmorum	291186	representative genome
GCF_008086165.1	Bizionia algoritergicola	291187	representative genome
GCF_008086185.1	Bizionia gelidisalsuginis	291188	representative genome
GCF_008086175.1	Bizionia saleffrena	291189	representative genome
GCF_007997295.1	Gillisia hiemivivida	291190	representative genome
GCF_007997285.1	Gelidibacter salicanalis	291193	representative genome
GCF_002128465.1	Streptomyces pharetrae CZA14	291370	representative genome
GCF_003259505.1	Algoriphagus yeomjeoni	291403	representative genome
GCF_900090265.1	Micromonospora rifamycinica	291594	representative genome
GCF_000273235.1	Bacteroides salyersiae CL02T12C01	291644	representative genome
GCF_000273175.1	Bacteroides nordii CL02T12C05	291645	representative genome
GCF_000376245.1	Acaricomes phytoseiuli DSM 14247	291968	representative genome
GCF_000756795.1	Erythrobacter vulgaris	291985	representative genome
GCF_008124715.1	Thermosediminibacter litoriperuensis	291989	representative genome
GCF_000144645.1	Thermosediminibacter oceani DSM 16646	291990	representative genome
GCF_013522725.1	Pseudomonas azotifigens	291995	representative genome
GCF_001441535.1	Altererythrobacter troitsensis	292222	representative genome
GCF_000701505.1	Dyadobacter crusticola DSM 16708	292407	representative genome
GCF_010730355.1	Mycobacterium florentinum	292462	representative genome
GCF_000317615.1	Dactylococcopsis salina PCC 8305	292566	representative genome
GCF_003003775.1	Merismopedia glauca CCAP 1448/3	292586	representative genome
GCF_001406055.1	Flavonifractor plautii	292800	representative genome
GCF_002200855.1	Lysinibacillus massiliensis 4400831 = CIP 108448 = CCUG 49529	292806	representative genome
GCF_900111805.1	Rhodococcus kroppenstedtii	293050	representative genome
GCF_004769275.1	Leptospira yanagawae	293069	representative genome
GCF_000332495.1	Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639	293075	representative genome
GCF_004770365.1	Leptospira vanthielii	293085	representative genome
GCF_000422245.1	Desulfovibrio alkalitolerans DSM 16529	293256	representative genome
GCF_900015005.1	Lactobacillus oligofermentans DSM 15707 = LMG 22743	293371	representative genome
GCF_000972685.1	Bacillus altitudinis	293387	representative genome
GCF_900129155.1	Marinomonas polaris DSM 16579	293552	representative genome
GCF_000421565.1	Agromyces subbeticus DSM 16689	293890	representative genome
GCF_010668395.1	Rhizobium lusitanum	293958	representative genome
GCF_001634285.1	Anoxybacillus amylolyticus	294699	representative genome
GCF_000380985.1	Proteiniphilum acetatigenes DSM 18083	294710	representative genome
GCF_001559595.1	Enterovibrio coralii	294935	representative genome
GCF_003026455.1	Photobacterium rosenbergii	294936	representative genome
GCF_900089755.1	Marinomonas aquimarina	295068	representative genome
GCF_900109935.1	Chryseobacterium taichungense	295069	representative genome
GCF_009828095.1	Altererythrobacter luteolus	295089	representative genome
GCF_009856865.1	Desulfovibrio aerotolerans	295255	representative genome
GCF_000442315.1	Rubellimicrobium thermophilum DSM 16684	295419	representative genome
GCF_007830415.1	Flavobacterium cheniae	295428	representative genome
GCF_001570585.1	Herbidospora daliensis	295585	representative genome
GCF_002156475.1	Vibrio gigantis	296199	representative genome
GCF_001592935.1	Roseivirga echinicomitans	296218	representative genome
GCF_000218765.1	Caldalkalibacillus thermarum TA2.A1	296745	representative genome
GCF_004135975.1	Desulfovibrio carbinolicus	296842	representative genome
GCF_001939065.1	Exiguobacterium indicum HHS 31	296995	representative genome
GCF_900156575.1	Chryseobacterium shigense	297244	representative genome
GCF_001956185.1	Paenibacillus rhizosphaerae	297318	representative genome
GCF_006716205.1	Oryzihumus leptocrescens	297536	representative genome
GCF_000519325.1	Patulibacter minatonensis DSM 18081	298163	representative genome
GCF_001753205.1	Sporosarcina ureilytica	298596	representative genome
GCF_000166135.1	Frankia inefficax	298654	representative genome
GCF_000235425.2	Frankia saprophytica	298655	representative genome
GCF_000238255.3	Pseudoalteromonas spongiae UST010723-006	298657	representative genome
GCF_011927725.1	Sphingomonas kaistensis	298708	representative genome
GCF_001043975.1	Methylobacterium variabile	298794	representative genome
GCF_900188155.1	Pseudomonas segetis	298908	representative genome
GCF_900089605.1	Micromonospora narathiwatensis	299146	representative genome
GCF_900090305.1	Micromonospora siamensis	299152	representative genome
GCF_900129905.1	Ferrimonas marina	299255	representative genome
GCF_001969365.1	Tateyamaria omphalii	299262	representative genome
GCF_000473365.1	Adhaeribacter aquaticus DSM 16391	299567	representative genome
GCF_000505725.1	Francisella orientalis LADL--07-285A	299583	representative genome
GCF_001613045.1	Nocardia lijiangensis NBRC 108240	299618	representative genome
GCF_001750725.1	Enterobacter ludwigii	299767	representative genome
GCF_007679925.1	Microbacterium paludicola	300019	representative genome
GCF_008868125.1	Microbacterium maritypicum	300020	representative genome
GCF_900099725.1	Rhodococcus triatomae	300028	representative genome
GCF_001612845.1	Nocardia elegans NBRC 108235	300029	representative genome
GCF_000988045.1	Serratia ureilytica	300181	representative genome
GCF_000226565.1	Glaciecola nitratireducens FR1064	300231	representative genome
GCF_000313915.1	Catellicoccus marimammalium M35/04/3	300419	representative genome
GCF_003003075.1	Isoptericola halotolerans	300560	representative genome
GCF_000706725.1	Bacillus lehensis G1	300825	representative genome
GCF_001695575.1	Vibrio europaeus	300876	representative genome
GCF_000420725.1	Marinococcus halotolerans DSM 16375	301092	representative genome
GCF_002924615.1	Petrotoga halophila DSM 16923	301141	representative genome
GCF_000383875.1	Caldibacillus debilis DSM 16016	301148	representative genome
GCF_006438955.1	Sphingomonas oligophenolica	301154	representative genome
GCF_902387955.1	Roseburia hominis	301301	representative genome
GCF_001405615.1	Roseburia faecis	301302	representative genome
GCF_000767165.1	Cellulomonas bogoriensis 69B4 = DSM 16987	301388	representative genome
GCF_000243715.2	Leptospira broomii serovar Hurstbridge str. 5399	301541	representative genome
GCF_012163225.1	Spiroplasma platyhelix PALS-1	301585	representative genome
GCF_000421725.1	Caldicellulosiruptor acetigenus DSM 7040	301953	representative genome
GCF_009467795.1	Nesterenkonia halophila	302044	representative genome
GCF_002849835.1	Virgibacillus dokdonensis	302167	representative genome
GCF_000521505.1	Advenella mimigardefordensis DPN7	302406	representative genome
GCF_000759055.1	Corynebacterium tuscaniense DNF00037	302449	representative genome
GCF_000425705.1	Halobacillus kuroshimensis DSM 18393	302481	representative genome
GCF_001434935.1	Lactobacillus uvarum DSM 19971	303240	representative genome
GCF_001436275.1	Lactobacillus oeni DSM 19972	303241	representative genome
GCF_004361795.1	Herminiimonas fonticola	303380	representative genome
GCF_003150935.1	Lactobacillus apis	303541	representative genome
GCF_011516825.1	Acetobacter oeni	304077	representative genome
GCF_008694105.1	Lactobacillus harbinensis	304207	representative genome
GCF_002153425.1	Bacillus alkalitelluris	304268	representative genome
GCF_000173615.1	Sulfurihydrogenibium yellowstonense SS-5	304736	representative genome
GCF_000024025.1	Catenulispora acidiphila DSM 44928	304895	representative genome
GCF_000717315.1	Actinospica acidiphila	304899	representative genome
GCF_000504285.1	Actinospica robiniae DSM 44927	304901	representative genome
GCF_900116615.1	Algoriphagus locisalis	305507	representative genome
GCF_000468635.1	Prevotella baroniae F0067	305719	representative genome
GCF_007991935.1	Lactobacillus nantensis	305793	representative genome
GCF_000710775.1	Endozoicomonas elysicola	305900	representative genome
GCF_013416295.1	Pusillimonas noertemannii	305977	representative genome
GCF_000711985.1	Pararheinheimera texasensis DSM 17496	306205	representative genome
GCF_900115605.1	Halolactibacillus halophilus	306540	representative genome
GCF_900116255.1	Halolactibacillus miurensis	306541	representative genome
GCF_000422465.1	Paenibacillus harenae DSM 16969	306543	representative genome
GCF_003762925.1	Marinimicrobium koreense	306545	representative genome
GCF_000423345.1	Marinimicrobium agarilyticum DSM 16975	306546	representative genome
GCF_900091435.1	Micromonospora chaiyaphumensis	307119	representative genome
GCF_900091565.1	Micromonospora marina	307120	representative genome
GCF_900091425.1	Micromonospora krabiensis	307121	representative genome
GCF_000373205.1	Calidithermus timidus DSM 17022	307124	representative genome
GCF_001434405.1	Lactobacillus apodemi DSM 16634 = JCM 16172	307126	representative genome
GCF_000737765.1	Chryseobacterium vrystaatense	307480	representative genome
GCF_000807215.1	Tepidimonas taiwanensis	307486	representative genome
GCF_000521485.1	Gracilibacillus boraciitolerans JCM 21714	307521	representative genome
GCF_009725165.1	Paenibacillus woosongensis	307580	representative genome
GCF_001909285.1	Exiguobacterium profundum	307643	representative genome
GCF_900108085.1	Algoriphagus boritolerans DSM 17298 = JCM 18970	308111	representative genome
GCF_900187055.1	Staphylococcus simiae	308354	representative genome
GCF_000517385.1	Bacillus boroniphilus JCM 21738	308892	representative genome
GCF_000194985.1	Dialister micraerophilus DSM 19965	309120	representative genome
GCF_002200915.1	Lysinibacillus boronitolerans JCM 21713 = 10a = NBRC 103108	309788	representative genome
GCF_000469585.1	Chrysiogenes arsenatis DSM 11915	309797	representative genome
GCF_000021565.1	Persephonella marina EX-H1	309805	representative genome
GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1	309806	representative genome
GCF_900176165.1	Deinococcus hopiensis KR-140	309885	representative genome
GCF_000381345.1	Deinococcus apachensis DSM 19763	309886	representative genome
GCF_000186385.1	Deinococcus maricopensis DSM 21211	309887	representative genome
GCF_000519345.1	Deinococcus pimensis DSM 21231	309888	representative genome
GCF_003217515.1	Deinococcus yavapaiensis KR-236	309889	representative genome
GCF_003472665.1	Phocaeicola plebeius	310297	representative genome
GCF_003458565.1	Phocaeicola coprocola	310298	representative genome
GCF_900445575.1	Bacteroides pyogenes	310300	representative genome
GCF_000218235.1	Prevotella multisaccharivorax DSM 17128	310514	representative genome
GCF_000506985.1	Advenella kashmirensis W13003	310575	representative genome
GCF_004117075.1	Fervidobacterium changbaicum	310769	representative genome
GCF_900107965.1	Streptomyces yanglinensis	310779	representative genome
GCF_900110255.1	Streptomyces rubidus	310780	representative genome
GCF_900103985.1	Streptomyces guanduensis	310781	representative genome
GCF_900142575.1	Streptomyces paucisporeus	310782	representative genome
GCF_000020685.1	Deinococcus deserti VCD115	310783	representative genome
GCF_003111685.1	Yangia pacifica	311180	representative genome
GCF_007844305.1	Denitratisoma oestradiolicum	311182	representative genome
GCF_000425645.1	Gaetbulibacter saemankumensis DSM 17032	311208	representative genome
GCF_002902925.1	Paraburkholderia terrae	311230	representative genome
GCF_000739735.1	Paraburkholderia ginsengisoli NBRC 100965	311231	representative genome
GCF_007990265.1	Cellulomonas terrae	311234	representative genome
GCF_000422445.1	Paenibacillus assamensis DSM 18201	311244	representative genome
GCF_900100115.1	Chryseobacterium soldanellicola	311333	representative genome
GCF_900099685.1	Chryseobacterium taeanense	311334	representative genome
GCF_001406035.1	Labrenzia alba	311410	representative genome
GCF_000472825.1	Paraburkholderia mimosarum LMG 23256 = NBRC 106338	312026	representative genome
GCF_900188145.1	Anaerovirgula multivorans	312168	representative genome
GCF_001189845.1	Bradyrhizobium tropiciagri	312253	representative genome
GCF_000455605.1	Flavobacterium indicum GPTSA100-9 = DSM 17447	312277	representative genome
GCF_900637955.1	Trueperella bialowiezensis	312285	representative genome
GCF_000026105.1	Pseudomonas entomophila L48	312306	representative genome
GCF_001408515.1	Jannaschia seosinensis	313367	representative genome
GCF_900141995.1	Maribius salinus	313368	representative genome
GCF_900459365.1	Streptococcus massiliensis	313439	representative genome
GCF_000196315.1	Croceibacter atlanticus HTCC2559	313588	representative genome
GCF_000020385.1	Geobacter lovleyi SZ	313985	representative genome
GCF_004362695.1	Phyllobacterium brassicacearum	314235	representative genome
GCF_003337575.1	Phyllobacterium bourgognense	314236	representative genome
GCF_003217235.1	Phyllobacterium leguminum	314237	representative genome
GCF_000152725.1	Pseudooceanicola batsensis HTCC2597	314255	representative genome
GCF_000152625.1	Roseovarius nubinhibens ISM	314263	representative genome
GCF_001886435.1	Alteromonas mediterranea	314275	representative genome
GCF_003568825.1	Pseudoalteromonas tunicata	314281	representative genome
GCF_009617915.1	Prolixibacter bellariivorans	314319	representative genome
GCF_011947535.1	Mariprofundus ferrooxydans	314344	representative genome
GCF_000972865.1	Pseudoxanthomonas suwonensis	314722	representative genome
GCF_001029265.1	Spiroplasma eriocheiris	315358	representative genome
GCF_013267695.1	Streptococcus gallolyticus	315405	representative genome
GCF_010500915.1	Alteromonas hispanica	315421	representative genome
GCF_900113405.1	Palleronia marisminoris	315423	representative genome
GCF_000166395.1	Leadbetterella byssophila DSM 17132	316068	representative genome
GCF_000013405.1	Syntrophus aciditrophicus SB	316277	representative genome
GCF_011365705.1	Rubrivivax benzoatilyticus	316997	representative genome
GCF_002269685.1	Enterococcus canintestini	317010	representative genome
GCF_003444775.1	Deinococcus ficus	317577	representative genome
GCF_000972175.1	Pseudomonas syringae pv. coryli str. NCPPB 4273	317659	representative genome
GCF_900218025.1	Quadrisphaera granulorum	317664	representative genome
GCF_000394055.1	Enterococcus caccae ATCC BAA-1240	317735	representative genome
GCF_000559085.1	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	318425	representative genome
GCF_003026635.1	Photobacterium kishitanii	318456	representative genome
GCF_000732635.1	Clostridium sulfidigenes	318464	representative genome
GCF_002005485.1	Gluconobacter albidus	318683	representative genome
GCF_001570945.1	Janibacter anophelis NBRC 107843	319054	representative genome
